ticker,mdd,mdd_peak_date,mdd_trough_date,sortino,calmar,var_95,cvar_95
AAPL,-0.33360522795120856,2024-12-26,2025-04-08,0.8825038076156777,0.4216103272387859,-0.0891008823035402,-0.11346003039567365
ABBV,-0.21915469460626147,2022-04-08,2022-09-30,1.4272270527525488,0.9569244374548852,-0.08765500495007988,-0.10270810991284929
ABT,-0.33876765021938177,2021-12-27,2023-10-12,-0.48734107340474503,-0.028712714038650885,-0.0768326040451348,-0.10310785698356635
ADBE,-0.6002149800846833,2021-11-19,2022-09-30,-0.6151992586747514,-0.13460262476936793,-0.13818389409318946,-0.1854317608408654
AMAT,-0.551392008915951,2022-01-14,2022-10-17,1.331009806488821,0.5139898285222296,-0.12224478607837026,-0.17203839089117987
AMC,-0.9976818544401539,2021-06-02,2026-01-08,-1.1129839206493457,-0.5901082062505552,-0.3966091991208793,-0.5313704989871612
AMD,-0.654499429550688,2021-11-29,2022-10-14,0.8774844726025885,0.37952056854009747,-0.20663616865670914,-0.24018757557650308
AMT,-0.4534421603968881,2021-09-08,2023-10-04,-0.43639172757743117,-0.04097211174235942,-0.11510900658721472,-0.13966645695808302
AMZN,-0.5614526325328263,2021-07-08,2022-12-28,0.24918114278357067,0.14835112880232967,-0.10901375622406637,-0.16129288610780682
ARKK,-0.809141075842511,2021-02-12,2022-12-28,-0.674169744705361,-0.12116476421442442,-0.14594122284044678,-0.21936005447549356
ASML,-0.5686183850599785,2021-09-15,2022-10-14,0.9842517104430609,0.389703297210986,-0.15242824477895156,-0.1737218996563021
AVGO,-0.4114967470745902,2024-12-16,2025-04-04,2.6100577483669554,1.243749356276076,-0.12056335759581954,-0.15100697567346863
BA,-0.5695976835708434,2021-03-12,2022-06-13,0.05343231086596514,0.09414689664802564,-0.14669846308444395,-0.21918705698536298
BAC,-0.4664293541393869,2022-02-08,2023-10-27,0.6493478484806373,0.31093714015937607,-0.12057841478069496,-0.1511752335550756
BLK,-0.439016937192628,2021-11-12,2022-10-12,0.5086996129725668,0.2888424196637798,-0.10145604532594645,-0.15254889627556814
BRK-B,-0.265789708200119,2022-03-28,2022-10-12,1.2525011537934527,0.6026454319418768,-0.0617858002468392,-0.09568686770394012
C,-0.47798908783289096,2021-06-02,2023-10-27,0.9399627134616659,0.3839099958027893,-0.11264666969859205,-0.13627003872830423
CAT,-0.3404713871423416,2024-11-06,2025-04-08,1.760374600078663,0.8903155687572657,-0.10699165812400675,-0.15040688134488756
CCI,-0.5547698579446673,2021-12-31,2023-10-19,-0.813748274457795,-0.13112350784089824,-0.11763232152402031,-0.1347041523665128
CL,-0.29045858781721456,2024-09-04,2025-11-03,0.042164693322009915,0.15742649258054156,-0.06812503039044322,-0.08886140248783236
COIN,-0.9089789936876204,2021-11-09,2022-12-28,-0.27471643637494436,-0.07085380192561405,-0.30760417335088297,-0.3713464127937833
COP,-0.36295855484495104,2024-04-05,2025-04-08,1.2206713299735585,0.6635454818379413,-0.08781832274346049,-0.16469364119739946
COST,-0.31402430050220786,2022-04-07,2022-05-20,1.4108844953935824,0.768841149795695,-0.09867077073269728,-0.1289518358612937
CRM,-0.586172399508393,2021-11-08,2022-12-16,-0.20739067058298077,0.007884673107533347,-0.13976522205495018,-0.1651882057896353
CVX,-0.24948953320796252,2022-06-08,2022-07-14,0.8210178889998853,0.7749812108223131,-0.10704980161476847,-0.16450194398517393
DDOG,-0.6810643090895372,2021-11-09,2023-04-25,0.028128866358681396,0.07103727920830236,-0.1798464804774496,-0.19871337969423777
DE,-0.3381213481367252,2022-04-18,2022-07-06,0.7194337696539186,0.40558760724958953,-0.08741135153242502,-0.12071984824093747
DHR,-0.3981721745027531,2021-09-03,2025-04-08,-0.11933454531645055,0.0663745491959869,-0.11686925388584651,-0.1337069056415209
DIS,-0.6071517028869592,2021-03-08,2023-10-04,-0.6896392216700147,-0.12430178627069098,-0.14307246447152733,-0.16324644963628407
DLR,-0.48515217176453795,2021-12-31,2023-05-24,0.09237527930934016,0.11589723229841122,-0.09917224227626714,-0.15262622928243466
EOG,-0.3341952011033761,2022-06-07,2022-07-14,1.0785341237784358,0.6614872630364413,-0.1120670176691927,-0.1532458963960932
EQIX,-0.4176799578421722,2021-09-03,2022-10-14,-0.057510736036135456,0.07949505614714343,-0.12076502743006488,-0.138682660257017
GE,-0.4654547488679775,2021-05-27,2022-07-14,1.8893390839392143,0.8889125169922825,-0.09729893954983417,-0.17565646172263635
GIS,-0.477392724313977,2023-05-12,2026-01-07,-0.6848216922846773,-0.03623590739778965,-0.07164354790929786,-0.08774120906482823
GME,-0.8847802946955917,2021-01-27,2024-04-22,-0.6220613570435352,-0.2521974768460632,-0.2500261531865524,-0.4161878035277378
GOOGL,-0.44320049800039546,2021-11-18,2022-11-03,1.449535157329662,0.6614543556618222,-0.11666219903950015,-0.15706393570525048
GS,-0.32840135916828606,2021-11-02,2022-06-17,2.0692135505229543,0.9352461327093919,-0.09223978412991111,-0.11732886360614159
HD,-0.3472934232085666,2021-12-07,2022-09-26,0.43684413964821533,0.28403588123456003,-0.09464794936459724,-0.12794710238426796
HON,-0.27130065475458803,2021-08-16,2022-09-30,0.16136667188130707,0.2174077329284583,-0.07707624078525338,-0.10171744040621278
INTC,-0.7079731260120342,2021-04-09,2025-04-08,-0.2360325768229558,-0.030029954863289108,-0.1676376203763634,-0.2604349908140901
INTU,-0.4901005509480118,2021-11-29,2022-05-18,0.3680843306504627,0.20428333674636576,-0.13628588581576118,-0.1477154226279662
