ticker,data_quality,data_start,data_end,months_analyzed,sharpe,sortino,mdd,mdd_peak_date,mdd_trough_date,calmar,var_95,cvar_95,cagr,annual_vol,rolling_sharpe_mean,rolling_sharpe_std,rolling_sharpe_min,sharpe_consistency,sharpe_score,sortino_score,calmar_score,mdd_score,var_cvar_score,risk_adjusted_score,tier
RTX,COMPLETE,2021-01-04,2026-01-23,60,1.0077451110225601,1.6563190187024988,-0.3283623420513718,2023-04-18,2023-10-05,0.8197395440363681,-0.08420698327288903,-0.11794265627447935,0.2691715965519055,0.22542564986635774,0.5084664416637231,0.2696153443610848,0.16757630303105056,0.08,20.1,25.0,15.0,10.05,6.0,76.15,TIER_2_ACCEPTABLE
LLY,COMPLETE,2021-01-04,2026-01-23,60,1.142754675095087,2.2928128338803764,-0.34475003114834685,2024-08-30,2025-08-08,1.1624356025721052,-0.10577060198778025,-0.13367264671659232,0.40074971019468064,0.31393414353332627,1.447151398402996,0.4041603043570408,0.8493946410635476,0.76,20.1,25.0,20.0,10.05,0.0,75.15,TIER_2_ACCEPTABLE
XOM,COMPLETE,2021-01-04,2026-01-23,60,0.9451103881345541,1.7197567423576494,-0.2050863697539172,2022-06-08,2022-07-14,1.4524960112981637,-0.10016963687558313,-0.11627006819317924,0.2978871340391851,0.2707484091294898,0.5612945987531507,0.3591221861090938,0.020319578996175803,0.08,15.0,25.0,20.0,15.0,0.0,75.0,TIER_2_ACCEPTABLE
WMT,COMPLETE,2021-01-04,2026-01-23,60,0.9015089871465866,1.343806038536343,-0.2573967508800974,2022-04-21,2022-06-17,0.8505134506845977,-0.06668491845968715,-0.11289557537157187,0.2189193987860354,0.1962480699676797,1.0559101728776656,0.5204005312377387,0.15814254315392867,0.52,15.0,18.0,15.0,15.0,10.0,73.0,TIER_2_ACCEPTABLE
GS,COMPLETE,2021-01-04,2026-01-23,60,0.9607524485366407,2.0692135505229543,-0.32840135916828606,2021-11-02,2022-06-17,0.9352461327093919,-0.09223978412991111,-0.11732886360614159,0.30713610113864753,0.2759671354910275,0.6610949856863388,0.42330253551913133,0.16831168109283753,0.28,15.0,25.0,15.0,10.05,6.0,71.05,TIER_2_ACCEPTABLE
COST,COMPLETE,2021-01-04,2026-01-23,60,0.8352659528074223,1.4108844953935824,-0.31402430050220786,2022-04-07,2022-05-20,0.768841149795695,-0.09867077073269728,-0.1289518358612937,0.24143480426190633,0.23876802782584833,0.9053163880510589,0.15788582941790522,0.5703885907141593,0.36,15.0,18.0,15.0,10.05,6.0,64.05,TIER_2_ACCEPTABLE
