ticker,risk_adjusted_score,sharpe_score,sortino_score,calmar_score,mdd_score,var_cvar_score,tier
SBUX,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
SCHW,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
SLB,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
SNOW,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
SOXL,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
TGT,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
TMO,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
TSLA,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
UNH,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
UPS,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
V,37.0,0.0,12.0,0.0,15.0,10.0,TIER_3_EXCLUDED
VICI,21.0,0.0,0.0,0.0,15.0,6.0,TIER_3_EXCLUDED
VLO,44.95,0.0,25.0,15.0,4.95,0.0,TIER_3_EXCLUDED
VRTX,25.0,0.0,0.0,10.0,15.0,0.0,TIER_3_EXCLUDED
WFC,43.05,0.0,18.0,15.0,10.05,0.0,TIER_3_EXCLUDED
WMT,73.0,15.0,18.0,15.0,15.0,10.0,TIER_2_ACCEPTABLE
XOM,75.0,15.0,25.0,20.0,15.0,0.0,TIER_2_ACCEPTABLE
