symbol,calculation_timestamp,data_quality,trading_days,data_start_date,data_end_date,max_drawdown_3y,max_drawdown_peak_date,max_drawdown_trough_date,max_drawdown_recovery_days,max_drawdown_recovered,current_drawdown,sortino_ratio,calmar_ratio,var_95_daily,cvar_95_daily,var_95_monthly,cvar_95_monthly,beta,upside_capture,downside_capture,volatility_1y,volatility_3y,meets_mdd_threshold
CB,2026-01-26T10:31:34.960089,COMPLETE,1254,2021-01-26,2026-01-23,-0.1926170251219953,2023-01-26,2023-06-28,152.0,True,-0.045306005901202366,1.4983,1.3523,-0.0211,-0.0291,,,0.484,0.508,0.389,0.19980044380468145,0.2087776730314226,True
CBOE,2026-01-26T10:31:34.963465,COMPLETE,1254,2021-01-26,2026-01-23,-0.2177837074242662,2021-11-02,2022-05-18,315.0,True,-0.0026342378752887492,1.9622,1.5044,-0.0211,-0.03,,,0.223,0.363,0.129,0.2177568486439975,0.22584670019011935,True
CDNS,2026-01-26T10:31:34.977127,COMPLETE,1254,2021-01-26,2026-01-23,-0.2958518068098661,2021-12-27,2022-02-18,178.0,True,-0.1474408763425021,0.9754,0.9369,-0.0352,-0.0494,,,1.418,1.545,1.536,0.38924712582588,0.3531388899719343,True
CL,2026-01-26T10:31:35.012613,COMPLETE,1254,2021-01-26,2026-01-23,-0.29055597867479066,2024-09-04,2025-11-03,,False,-0.17498095963442506,1.0163,0.6051,-0.0176,-0.0266,,,0.234,0.219,0.186,0.21727400703930946,0.1789672839231536,True
CMS,2026-01-26T10:31:35.033147,COMPLETE,1254,2021-01-26,2026-01-23,-0.2803852621923253,2022-04-06,2023-10-02,337.0,True,-0.06283138918345699,1.1332,0.6867,-0.019,-0.0272,,,0.287,0.279,0.228,0.16797420689234396,0.1894645720583816,True
CNP,2026-01-26T10:31:35.040062,COMPLETE,1254,2021-01-26,2026-01-23,-0.22828947368421046,2022-09-12,2022-10-12,769.0,True,-0.03049999999999997,1.3942,1.0855,-0.0204,-0.0296,,,0.435,0.465,0.354,0.16289498477945605,0.2023264375996531,True
COR,2026-01-26T10:31:35.056961,COMPLETE,1254,2021-01-26,2026-01-23,-0.1783674221485166,2022-04-20,2022-09-30,53.0,True,-0.05675783855903931,2.0518,1.9331,-0.0195,-0.0298,,,0.288,0.396,0.162,0.21959293137657807,0.205057808768358,True
CSX,2026-01-26T10:31:35.099160,COMPLETE,1254,2021-01-26,2026-01-23,-0.29428172942817293,2022-03-30,2022-10-11,483.0,True,-0.020058839261834716,0.9239,0.6381,-0.023,-0.0326,,,0.797,0.781,0.8,0.2396065374996484,0.23262646774912205,True
CTAS,2026-01-26T10:31:35.102526,COMPLETE,1254,2021-01-26,2026-01-23,-0.23847894975101858,2021-12-10,2022-06-17,158.0,True,-0.1486432825943084,1.4822,1.2008,-0.0206,-0.0312,,,0.867,0.902,0.813,0.21500302650954936,0.22730090141612314,True
CVX,2026-01-26T10:31:35.123165,COMPLETE,1254,2021-01-26,2026-01-23,-0.24945866768564523,2022-06-08,2022-07-14,106.0,True,-0.0031093039942598076,1.2315,1.0894,-0.0251,-0.0368,,,0.599,0.562,0.437,0.25151970714801747,0.25238073168776287,True
DGX,2026-01-26T10:31:35.160520,COMPLETE,1254,2021-01-26,2026-01-23,-0.2861904162998365,2021-12-31,2022-09-21,792.0,True,-0.054577740638220025,1.143,0.7347,-0.0206,-0.0303,,,0.369,0.373,0.304,0.23629929689573437,0.21788428317621672,True
DRI,2026-01-26T10:31:35.193649,COMPLETE,1254,2021-01-26,2026-01-23,-0.28379555684623203,2021-09-27,2022-06-16,278.0,True,-0.06613217375549224,1.1231,0.8835,-0.0243,-0.0381,,,0.8,0.783,0.697,0.2579463956608661,0.2768092028470765,True
